Show_ID,Type,Title,Country,Release_Year,Genre,IMDb_Rating,Duration,Rating Category
NF00001,TV Show,1,Japan,1986,Thriller,9.1,3 Seasons,Excellent
NF00002,TV Show,2,UK,2007,Action,9.1,7 Seasons,Excellent
NF00003,TV Show,3,India,1992,Action,8.6,6 Seasons,Excellent
NF00004,TV Show,4,Canada,2004,Sci-Fi,6.2,6 Seasons,Good
NF00005,Movie,5,USA,2026,Drama,8.7,175 min,Excellent
NF00006,TV Show,6,South Korea,1992,Comedy,9.2,4 Seasons,Excellent
NF00007,Movie,7,India,2000,Sci-Fi,5.6,89 min,Good
NF00008,Movie,8,South Korea,2017,Romance,7.4,180 min,Average
NF00009,Movie,9,Canada,1995,Thriller,7.6,136 min,Good
NF00010,TV Show,10,Japan,2003,Thriller,5.3,3 Seasons,Good
NF00011,TV Show,11,Canada,2003,Drama,9.1,1 Seasons,Excellent
NF00012,TV Show,12,Canada,2024,Thriller,7,7 Seasons,Good
NF00013,TV Show,13,South Korea,2026,Thriller,6.4,5 Seasons,Good
NF00014,TV Show,14,USA,1991,Sci-Fi,7.4,9 Seasons,Average
NF00015,TV Show,15,Japan,2005,Action,6.8,5 Seasons,Good
NF00016,Movie,16,USA,1986,Comedy,5.6,66 min,Average
NF00017,TV Show,17,Japan,2004,Romance,6.4,8 Seasons,Average
NF00018,Movie,18,UK,1980,Romance,7.8,171 min,Average
NF00019,Movie,19,UK,2010,Comedy,7.4,144 min,Good
NF00020,Movie,20,Japan,2026,Sci-Fi,8.6,118 min,Excellent
NF00021,Movie,21,Japan,1985,Comedy,6.7,136 min,Good
NF00022,Movie,22,UK,1996,Action,5.7,78 min,Average
NF00023,Movie,23,USA,2020,Romance,6.2,99 min,Average
NF00024,Movie,24,Japan,1991,Action,8.6,157 min,Excellent
NF00025,TV Show,25,UK,1991,Sci-Fi,9.3,10 Seasons,Excellent
NF00026,TV Show,26,Canada,1993,Romance,7.4,10 Seasons,Good
NF00027,Movie,27,USA,2009,Thriller,6.9,154 min,Good
NF00028,TV Show,28,South Korea,1992,Sci-Fi,8.5,8 Seasons,Excellent
NF00029,Movie,29,India,2014,Romance,5.8,152 min,Good
NF00030,TV Show,30,South Korea,2015,Drama,6.6,3 Seasons,Average
NF00031,Movie,31,USA,2025,Romance,7.9,146 min,Average
NF00032,Movie,32,UK,2000,Action,9.4,127 min,Excellent
NF00033,Movie,33,UK,1982,Drama,7.1,105 min,Good
NF00034,Movie,34,Japan,2026,Drama,9.2,114 min,Excellent
NF00035,TV Show,35,Japan,1985,Thriller,7,9 Seasons,Good
NF00036,TV Show,36,South Korea,1996,Drama,7.1,5 Seasons,Good
NF00037,TV Show,37,UK,2011,Drama,9.2,9 Seasons,Excellent
